,DOWhour,datecode,procent,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,prosocial,emo_posp,emo_negp,emo_anxp,emo_angerp,emo_sadp,prosocialp,DOW.x,hour.x,emo_sadb,emo_angerb,emo_anxb,emo_negb,emo_posb,prosocialb,DOW.y,hour.y,emo_posw,emo_negw,emo_anxw,emo_angerw,emo_sadw,prosocialw,rank,year,month,day,hour,time0,daysno
1,Wednesday 07,10107,0.999722222,9000.33,588.4,82.13,152.27,120.03,1970.15,9002.830786,588.5634899,82.15282023,152.312309,120.0633509,1970.697416,Wednesday,7,-86.51863565,-83.09124182,-89.67619439,-86.55468924,-38.00529749,-82.25591994,Wednesday,7,14521.93562,4377.462896,795.7610142,900.7894451,890.5875387,11106.22477,1,2020,1,1,7,2020-01-01-07,101
2,Wednesday 08,10108,0.999722222,19140.43,1504.69,387.65,267.55,311.61,4507.76,19145.74826,1505.108086,387.7577105,267.6243401,311.6965824,4509.012503,Wednesday,8,-66.36646325,-74.09228009,-37.69761619,-64.38876434,21.45708223,-55.04277111,Wednesday,8,15763.38564,4226.497783,622.3802153,1032.990711,926.743401,10029.56057,2,2020,1,1,8,2020-01-01-08,101
3,Wednesday 09,10109,0.877222222,26042.88,2243.25,258.02,436.4,516.29,6782.86,29687.8936,2557.219759,294.1329956,497.4794174,588.5509816,7732.20266,Wednesday,9,-46.63284749,-45.06457373,-54.86958526,-40.38589718,107.1968339,-26.44860559,Wednesday,9,14328.35292,4289.62215,651.7400677,905.5712336,1102.833773,10512.65271,3,2020,1,1,9,2020-01-01-09,101
4,Wednesday 10,10110,0.737777778,23347.05,3112.8,740.53,609.94,569.88,7709.14,31645.09789,4219.156627,1003.730422,826.7259036,772.4277108,10449.13554,Wednesday,10,-11.83157294,-19.31392076,62.02037645,-4.033499263,133.2615935,-3.162764848,Wednesday,10,13566.35588,4396.488977,619.5087579,1024.620246,876.0819906,10790.41086,4,2020,1,1,10,2020-01-01-10,101
5,Wednesday 11,10111,0.664444444,20445.15,3216.17,553.84,564.26,584.45,7191.39,30770.29264,4840.389632,833.5384615,849.2207358,879.6070234,10823.16221,Wednesday,11,-2.628246814,-9.908474284,-9.070089267,5.819341559,140.8197958,-6.524253992,Wednesday,11,12777.31033,4574.201238,916.6823709,942.6199957,903.3492719,11578.57805,5,2020,1,1,11,2020-01-01-11,101
6,Wednesday 12,10112,0.589166667,17694.12,3029.72,409.51,455.64,538,6172.12,30032.45262,5142.381895,695.0664781,773.3635078,913.1541726,10476.01697,Wednesday,12,-16.7003183,-39.34024595,-14.01348973,5.502072069,115.0168293,-0.367530462,Wednesday,12,13967.4893,4874.199904,808.3436296,1274.920283,1096.227685,10514.66156,6,2020,1,1,12,2020-01-01-12,101
7,Wednesday 13,10113,0.6425,15850.02,2884.58,487.47,661.56,314.04,6865.23,24669.29183,4489.618677,758.7081712,1029.66537,488.7782101,10685.18288,Wednesday,13,-52.40955515,-16.44881198,-9.402930212,-8.684339394,86.5170079,12.86139424,Wednesday,13,13226.29615,4916.592233,837.4533227,1232.376695,1027.051148,9467.526917,7,2020,1,1,13,2020-01-01-13,101
8,Wednesday 14,10114,0.596388889,15218.18,3866.92,498.05,750.86,804.05,7297.83,25517.20913,6483.890079,835.1094551,1259.010713,1348.197485,12236.69679,Wednesday,14,48.02385313,12.59166709,22.47617416,49.91093561,95.41073675,12.14818704,Wednesday,14,13058.24314,4325.161505,681.8546226,1118.209496,910.7974535,10911.18556,8,2020,1,1,14,2020-01-01-14,101
9,Wednesday 15,10115,0.569722222,12238.25,4015.26,464.13,809.74,585.43,6170.06,21481.0824,7047.750366,814.6601658,1421.289127,1027.570941,10829.94442,Wednesday,15,9.518379081,62.44713515,53.4205643,72.45780532,57.01560388,3.275621215,Wednesday,15,13680.85838,4086.652009,530.9980246,874.9240951,938.2634674,10486.4481,9,2020,1,1,15,2020-01-01-15,101
10,Wednesday 16,10116,0.481111111,12518.22,4299.98,436.97,1035.97,682.21,5949.2,26019.39492,8937.602771,908.2517321,2153.286374,1417.988453,12365.54273,Wednesday,16,48.64487649,52.72354932,9.913907444,73.60644675,74.06437258,3.428392415,Wednesday,16,14948.14506,5148.197512,826.330128,1409.924261,953.9437121,11955.65592,10,2020,1,1,16,2020-01-01-16,101
11,Wednesday 17,10117,0.528055556,12874.83,3349.77,476.39,599.97,571.02,6855.91,24381.58233,6343.593898,902.1588638,1136.18727,1081.363493,12983.31194,Wednesday,17,-25.86885383,-3.326357987,-0.497822598,1.523832554,35.76373672,1.00530538,Wednesday,17,17958.83268,6248.379064,906.6724843,1175.281334,1458.716813,12854.08909,11,2020,1,1,17,2020-01-01-17,101
12,Wednesday 18,10118,0.567222222,13649.19,3605.81,573.5,695.08,832.09,6737.05,24063.2145,6356.961802,1011.067581,1225.410382,1466.955926,11877.26738,Wednesday,18,12.60566693,-27.24674452,22.80912241,-3.359270873,9.21048273,-18.56305162,Wednesday,18,22033.79556,6577.932368,823.2837765,1684.337524,1302.737212,14584.61745,12,2020,1,1,18,2020-01-01-18,101
13,Wednesday 19,10119,0.545,13103.87,3622.19,318.84,1137.78,886.95,6560.12,24043.79817,6646.220183,585.0275229,2087.669725,1627.431193,12036.91743,Wednesday,19,9.81631098,21.26721724,-46.32351135,-8.629898409,12.99079122,-25.45274564,Wednesday,19,21279.43163,7273.955121,1089.913922,1721.545008,1481.957624,16146.69452,13,2020,1,1,19,2020-01-01-19,101
14,Wednesday 20,10120,0.422777778,11012.26,4310.25,444.59,819.21,704.54,5947.86,26047.39553,10195.07227,1051.592641,1937.684625,1666.454665,14068.52562,Wednesday,20,-40.56732122,-3.583775325,-13.65900406,2.279644713,4.368074889,-22.83528256,Wednesday,20,24957.24441,9967.840915,1217.952874,2009.708047,2803.936654,18231.81124,14,2020,1,1,20,2020-01-01-20,101
15,Wednesday 21,10121,0.483611111,12082.14,4721.19,756.29,991.38,663.64,6814.07,24983.17289,9762.368754,1563.839173,2049.952901,1372.259621,14089.97817,Wednesday,21,-49.54481407,-28.67537387,3.430746469,-15.81316635,-19.61711017,-30.15805068,Wednesday,21,31080.2124,11596.07546,1511.967405,2874.116573,2719.759319,20174.09066,15,2020,1,1,21,2020-01-01-21,101
16,Wednesday 22,10122,0.684166667,12583.37,4493.19,919.19,735.27,955.21,7142.85,18392.25822,6567.390987,1343.517661,1074.694275,1396.165652,10440.21924,Wednesday,22,1.81233671,-19.19707938,37.27672009,0.582994967,0.945877255,-15.49364322,Wednesday,22,18219.92014,6529.325348,978.6930082,1330.019097,1371.312846,12354.35965,16,2020,1,1,22,2020-01-01-22,101
17,Wednesday 23,10123,0.9925,12243.52,5029.86,848.6,843.84,1360.45,7376.43,12336.0403,5067.869018,855.0125945,850.2166247,1370.730479,7432.171285,Wednesday,23,63.66282614,-14.40327159,54.57028554,21.39549261,21.67578196,7.403608949,Wednesday,23,10138.45163,4174.67643,553.1545675,993.2816832,837.5331839,6919.852468,17,2020,1,1,23,2020-01-01-23,101
18,Thursday 00,10200,0.999722222,6638.79,2007.47,151.06,407.47,379.7,4136.69,6640.634621,2008.027785,151.1019728,407.5832176,379.8055015,4137.8394,Thursday,0,-34.53441383,-25.21321772,-48.28732111,-14.86325391,44.06016861,47.1592202,Thursday,0,4609.625745,2358.591181,292.1952141,544.9936541,580.1605451,2811.811176,18,2020,1,2,0,2020-01-02-00,102
19,Thursday 07,10207,0.999722222,7500.93,1806.7,253.42,396.67,516.65,4191.33,7503.014171,1807.202001,253.490414,396.7802167,516.7935538,4192.494582,Thursday,7,-48.41170059,-53.00675978,-70.18696663,-60.5279237,-53.54096611,-58.43155,Thursday,7,16149.74213,4578.431565,850.267099,844.3346637,1001.765051,10085.76115,19,2020,1,2,7,2020-01-02-07,102
20,Thursday 08,10208,0.999722222,11116.79,2981.18,508.41,525.2,737.02,6575.24,11119.87886,2982.008336,508.5512642,525.3459294,737.2247847,6577.066963,Thursday,8,-35.12902572,-49.80068043,-36.20638056,-38.02537203,-37.31656378,-37.32078209,Thursday,8,17739.74039,4811.659922,797.1820203,1046.52002,1136.447838,10493.21798,20,2020,1,2,8,2020-01-02-08,102
21,Thursday 09,10209,0.999722222,12423.74,3408.91,567.95,525.07,862.52,8691.9,12427.192,3409.857183,568.1078077,525.2158933,862.7596555,8694.315088,Thursday,9,-14.94631548,-49.72566081,-1.31882094,-25.23120741,-30.1874301,-22.23735697,Thursday,9,17800.79435,4560.535304,575.7002633,1044.699745,1014.3707,11180.58074,21,2020,1,2,9,2020-01-02-09,102
22,Thursday 10,10210,0.910555556,10690.87,3888.77,691.6,834.45,960.99,8323.62,11741.04088,4270.766321,759.5363026,916.4185479,1055.388652,9141.254423,Thursday,10,16.5648845,-1.422386365,16.90599474,-0.739666787,-19.50907744,-13.58904654,Thursday,10,14586.7888,4302.591159,649.6983361,929.6416439,905.4087397,10578.81444,22,2020,1,2,10,2020-01-02-10,102
23,Thursday 11,10211,0.868611111,11014.37,3527.18,654.89,861.95,669.68,9708.97,12680.43876,4060.712504,753.9507515,992.331308,770.9779341,11177.57979,Thursday,11,-27.15493943,7.977811725,3.085751245,-12.18346438,-12.86305122,5.821341309,Thursday,11,14552.30983,4624.086426,731.3821187,919.0140938,1058.380525,10562.68958,23,2020,1,2,11,2020-01-02-11,102
24,Thursday 12,10212,0.868333333,11033.03,4182.99,621.36,984.69,1059.95,8232.38,12705.98464,4817.262956,715.5777351,1134,1220.671785,9480.667946,Thursday,12,40.35218895,24.14059735,17.3633373,11.12609199,-16.45730657,-13.48791382,Thursday,12,15208.97175,4334.952188,609.7114752,913.4803797,869.7205182,10958.77855,24,2020,1,2,12,2020-01-02-12,102
25,Thursday 13,10213,0.844444444,10285.04,4081.8,637.57,652.41,1149.13,7870.7,12179.65263,4833.710526,755.0171053,772.5907895,1360.811842,9320.565789,Thursday,13,33.12696979,-29.72846849,-20.02045585,-4.566961124,-16.05494685,-13.89160432,Thursday,13,14509.07728,5065.028404,944.0127639,1099.43639,1022.190954,10824.22418,25,2020,1,2,13,2020-01-02-13,102
26,Thursday 14,10214,0.912777778,9719.3,3972.6,642.74,985.5,700.92,8891.84,10648.04626,4352.209373,704.1582471,1079.671333,767.897748,9741.516738,Thursday,14,-30.73013179,6.887049419,-3.164915499,-2.740245779,-23.01717918,-2.492643952,Thursday,14,13831.71745,4474.830733,727.1726469,1010.104909,1108.559563,9990.545465,26,2020,1,2,14,2020-01-02-14,102
27,Thursday 15,10215,0.911388889,9706.25,4001.79,722.64,841.5,833.29,8301.88,10649.95428,4390.869857,792.8997257,923.3160622,914.307833,9109.042365,Thursday,15,8.529585105,-2.982071268,18.29550588,-2.390717541,-24.78355625,-9.83232139,Thursday,15,14159.07713,4498.414235,670.2703706,951.6963248,842.4503163,10102.33656,27,2020,1,2,15,2020-01-02-15,102
28,Thursday 16,10216,0.807222222,9707.76,4029.34,626.16,1072.09,822.64,7168.24,12026.13076,4991.611838,775.6971783,1328.122505,1019.099794,8880.13214,Thursday,16,-5.837055221,14.93327941,19.80959647,-2.374329463,-27.6741948,-21.37148832,Thursday,16,16627.71777,5113.011578,647.4416083,1155.559566,1082.272645,11293.78129,28,2020,1,2,16,2020-01-02-16,102
29,Thursday 17,10217,0.709166667,10892.75,3663.05,615.58,896.65,824.37,7729.03,15359.92949,5165.287897,868.0329025,1264.371328,1162.448884,10898.74971,Thursday,17,-7.019426938,0.860526348,1.517867794,-8.897424666,-20.53604053,-22.48870184,Thursday,17,19329.42883,5669.749596,855.0543085,1253.583908,1250.206194,14060.85302,29,2020,1,2,17,2020-01-02-17,102
30,Thursday 18,10218,0.642222222,11059.26,4202.74,541.11,945.63,988.48,7521.48,17220.30104,6544.058824,842.5588235,1472.434256,1539.155709,11711.64706,Thursday,18,-0.927079805,6.856668814,-14.48738386,-1.99777739,-16.57199207,-20.65718068,Thursday,18,20640.91121,6677.459602,985.3035278,1377.952609,1553.558436,14760.81536,30,2020,1,2,18,2020-01-02-18,102
31,Thursday 19,10219,0.631111111,11426.09,3717.79,886.67,646.9,586.91,7895.7,18104.72007,5890.864437,1404.934859,1025.017606,929.9630282,12510.79225,Thursday,19,-38.95554888,-27.97874251,59.92789053,-8.102807165,-17.75088701,-22.47860177,Thursday,19,22012.0551,6410.276805,878.4802041,1423.215369,1523.419428,16138.50181,31,2020,1,2,19,2020-01-02-19,102
32,Thursday 20,10220,0.583333333,9891.47,3785.6,783.16,594.32,622.31,7754.25,16956.80571,6489.6,1342.56,1018.834286,1066.817143,13293,Thursday,20,-27.60733754,-41.70977874,29.34298604,-8.027819304,-22.04228193,-15.41172439,Thursday,20,21751.28536,7056.046677,1037.984386,1747.864845,1473.653692,15714.94383,32,2020,1,2,20,2020-01-02-20,102
33,Thursday 21,10221,0.5875,9141.8,3764.76,929.53,557.41,663.1,7288.29,15560.51064,6408.102128,1582.178723,948.7829787,1128.680851,12405.6,Thursday,21,-24.70071501,-37.08900817,75.05891162,-2.194926692,-29.4707244,-18.80330742,Thursday,21,22062.4847,6551.911788,903.7978751,1508.135464,1498.926386,15278.45483,33,2020,1,2,21,2020-01-02-21,102
34,Thursday 22,10222,0.672777778,11003.59,3975.49,1014.8,742.54,969.82,6929.64,16355.45995,5909.068538,1508.373245,1103.692816,1441.516102,10300.04294,Thursday,22,-16.87521569,-3.794440486,26.39778204,-13.27808486,-12.27742091,-18.14896403,Thursday,22,18644.52701,6813.812321,1193.354204,1147.22353,1734.159209,12583.8883,34,2020,1,2,22,2020-01-02-22,102
35,Thursday 23,10223,0.975555556,10891.88,4357.72,845.85,717.66,1049.39,7664.2,11164.79727,4466.911162,867.0444191,735.642369,1075.68451,7856.241458,Thursday,23,-20.18727144,-12.22927134,41.41076079,-6.103763629,4.749824155,5.4628846,Thursday,23,10658.53557,4757.284567,613.1389254,838.1408931,1347.760601,7449.295065,35,2020,1,2,23,2020-01-02-23,102
36,Friday 00,10300,0.999722222,5757.52,2664.69,562.37,391.45,599.92,5422.37,5759.119755,2665.430397,562.5262573,391.5587663,600.0866907,5423.876632,Friday,0,9.996418028,-25.77221848,125.171008,22.503434,11.52103596,60.96210531,Friday,0,5164.155539,2175.800555,249.8217965,527.5097252,545.5511202,3369.660593,36,2020,1,3,0,2020-01-03-00,103
37,Friday 07,10307,0.999444444,7836.85,2278.67,371.95,421.61,450.24,4961.07,7841.206226,2279.936631,372.1567538,421.844358,450.4902724,4963.827682,Friday,7,-47.27498654,-45.06623486,-47.65096567,-44.96821561,-53.60850244,-55.88156257,Friday,7,16902.24855,4142.94513,710.9142671,767.9145183,854.4147128,11251.14118,37,2020,1,3,7,2020-01-03-07,103
38,Friday 08,10308,0.999722222,12605.12,4094.17,879.63,842.26,724.36,8559.91,12608.6224,4095.307585,879.8744096,842.4940261,724.561267,8562.288413,Friday,8,-43.92959045,-34.26642921,17.87136591,-18.8451609,-32.42999991,-30.44139578,Friday,8,18660.08936,5046.288836,746.4700208,1281.679994,1292.234661,12309.45979,38,2020,1,3,8,2020-01-03-08,103
39,Friday 09,10309,0.843333333,12241.84,3287.41,872.83,731.72,556.87,9471.27,14516.01581,3898.114625,1034.976285,867.6521739,660.3201581,11230.75494,Friday,9,-46.62715532,-7.352373783,18.94006387,-22.35035492,-25.08828558,-14.33757914,Friday,9,19377.4978,5020.131928,870.1662425,936.5077221,1237.183744,13110.48045,39,2020,1,3,9,2020-01-03-09,103
40,Friday 10,10310,0.843888889,11197.52,4007.8,872.71,1005.09,607.23,7780.87,13268.95063,4749.203423,1034.152732,1191.021725,719.5615537,9220.254115,Friday,10,-41.45794545,9.860216422,21.35555199,-8.38463524,-24.02840095,-25.38833069,Friday,10,17465.67242,5183.850368,852.1676306,1084.124685,1229.136147,12357.65692,40,2020,1,3,10,2020-01-03-10,103
41,Friday 11,10311,0.845,11025.54,3619.92,647.49,770,622.31,8441.39,13047.97633,4283.928994,766.260355,911.2426036,736.4615385,9989.810651,Friday,11,-27.56545927,-14.80187575,-9.415836227,-10.49863504,-24.49229108,-20.42869905,Friday,11,17280.32345,4786.439845,845.9098402,1069.557119,1016.727008,12554.5398,41,2020,1,3,11,2020-01-03-11,103
42,Friday 12,10312,0.7975,9752.92,3907.16,847.45,964.67,732.7,6966.91,12229.36677,4899.260188,1062.633229,1209.617555,918.7460815,8735.937304,Friday,12,-16.0544164,12.17355885,46.76779775,0.990322844,-24.54271477,-23.91404525,Friday,12,16207.00604,4851.217473,724.0234201,1078.344636,1094.454338,11481.66877,42,2020,1,3,12,2020-01-03-12,103
43,Friday 13,10313,0.821944444,10168.71,3511.18,644.79,793.68,833.17,7937.6,12371.52957,4271.797229,784.4690774,965.612707,1013.657317,9657.100372,Friday,13,-29.84237185,-18.30510641,-5.17376168,-21.40890954,-20.16566903,-25.47152855,Friday,13,15496.5031,5435.472652,827.2700587,1181.974374,1444.828372,12957.59887,43,2020,1,3,13,2020-01-03-13,103
44,Friday 14,10314,0.831111111,10105.26,3234.57,559.13,723.63,686.25,8001.16,12158.73529,3891.862299,672.75,870.6778075,825.7018717,9627.064171,Friday,14,-25.75855326,-7.611494953,4.977110932,-11.72600446,-21.21510174,-16.45372662,Friday,14,15432.82477,4408.843483,640.8539862,942.4092392,1112.184511,11523.03242,44,2020,1,3,14,2020-01-03-14,103
45,Friday 15,10315,0.824444444,10112.01,3164.75,613.85,624.49,639.66,7955.55,12265.24124,3838.645553,744.5619946,757.467655,775.8679245,9649.588949,Friday,15,-35.54781383,-14.19983643,-20.42845315,-26.48170234,-24.49367077,-22.83547401,Friday,15,16243.99089,5221.347167,935.7138627,882.8277516,1203.788375,12505.2138,45,2020,1,3,15,2020-01-03-15,103
46,Friday 16,10316,0.789722222,10405.96,3342.61,587.77,726.23,522.83,7005.14,13176.73444,4232.640169,744.2743581,919.6018291,662.0429124,8870.384805,Friday,16,-49.8100752,-16.73002317,-19.85572331,-25.06705614,-29.17771948,-32.88565169,Friday,16,18605.35179,5648.57051,928.668133,1104.361817,1319.075322,13216.82327,46,2020,1,3,16,2020-01-03-16,103
47,Friday 17,10317,0.670833333,11288.14,3695.1,623.55,808.43,854.19,7471.35,16827.04099,5508.223602,929.515528,1205.113043,1273.326708,11137.41615,Friday,17,0.983191399,0.591058735,10.91489026,-5.075382076,-17.02940924,-19.35873109,Friday,17,20280.7294,5802.734552,838.0439504,1198.031971,1260.929359,13811.06262,47,2020,1,3,17,2020-01-03-17,103
48,Friday 18,10318,0.626388889,13978.91,3183.43,533.82,613.86,554.65,7748.42,22316.66341,5082.194235,852.2181818,979.9982262,885.4722838,12369.98315,Friday,18,-40.03497303,-32.77152865,-7.485445836,-23.07365199,5.451055008,-17.72635067,Friday,18,21163.05372,6606.571567,921.172014,1457.713089,1476.647854,15035.17013,48,2020,1,3,18,2020-01-03-18,103
49,Friday 19,10319,0.603333333,11509.98,3863.41,789.55,867.34,765.98,8204.95,19077.31492,6403.441989,1308.646409,1437.58011,1269.58011,13599.36464,Friday,19,-8.269654558,-1.238223928,36.71973684,1.51513024,-16.3619119,-12.00172831,Friday,19,22809.36276,6307.86955,957.1744644,1455.603744,1384.035026,15454.12697,49,2020,1,3,19,2020-01-03-19,103
50,Friday 20,10320,0.605833333,11555.76,3897.22,805.53,538.43,996.85,7654.44,19074.15681,6432.825309,1329.623109,888.7427785,1645.419532,12634.56396,Friday,20,11.31419231,-42.28542626,6.518550543,-13.4390501,-13.38330836,-17.33560857,Friday,20,22021.34074,7431.555819,1248.254977,1539.893169,1478.175872,15284.16739,50,2020,1,3,20,2020-01-03-20,103
51,Friday 21,10321,0.630277778,10909.17,4088.79,714.45,875.89,1026.68,8229.32,17308.51124,6487.282503,1133.547818,1389.68885,1628.932569,13056.6558,Friday,21,-3.527238243,-16.19665293,-5.118245251,-12.01571248,-19.84194428,-5.489640964,Friday,21,21592.97788,7373.228432,1194.695251,1658.273683,1688.489621,13815.05258,51,2020,1,3,21,2020-01-03-21,103
52,Friday 22,10322,0.685833333,10841.69,5246.34,1243.06,884.64,1385.41,6897.06,15808.05346,7649.584447,1812.481166,1289.876063,2020.038882,10056.46659,Friday,22,56.63865243,-7.266678076,99.41962004,22.87589706,-6.377390423,-14.39890075,Friday,22,16884.86738,6225.455627,908.8780563,1390.952072,1289.617122,11748.05776,52,2020,1,3,22,2020-01-03-22,103
53,Friday 23,10323,0.936388889,9788.68,4514.12,645.62,1059.92,815.34,6388.55,10453.64818,4820.774844,689.478493,1131.922872,870.7279739,6822.539306,Friday,23,-20.71673219,1.163915812,14.63342248,4.980441442,-4.760133918,-6.606643696,Friday,23,10976.1265,4592.069511,601.46376,1118.89982,1098.249351,7305.165566,53,2020,1,3,23,2020-01-03-23,103
54,Saturday 00,10400,0.999722222,6506.23,3195.33,480.14,506.95,854.12,3918.57,6508.037788,3196.217838,480.2734093,507.0908586,854.3573215,3919.658794,Saturday,0,64.78949077,-18.0714692,29.88027488,25.45689603,9.610090617,2.608947446,Saturday,0,5937.444036,2547.662137,369.7816391,618.9429416,518.4537664,3819.997078,54,2020,1,4,0,2020-01-04-00,104
55,Saturday 07,10407,0.999722222,5460.61,1673.3,278.59,322.87,424.67,3717.49,5462.127258,1673.764935,278.6674076,322.959711,424.7879967,3718.522923,Saturday,7,-37.59657564,-44.57088419,-49.58129632,-45.79206536,-56.07807375,-51.56761992,Saturday,7,12435.99205,3087.675164,552.706411,582.65355,680.7126388,7677.762102,55,2020,1,4,7,2020-01-04-07,104
56,Saturday 08,10408,0.999722222,9882.31,3355.7,503.71,700.95,906.17,6641.06,9885.055849,3356.632398,503.8499583,701.1447624,906.4217838,6642.905251,Saturday,8,-6.581310108,-20.60859314,-27.5064514,-20.59784366,-44.66874106,-38.65035296,Saturday,8,17865.22851,4227.381916,695.0273066,883.1494366,970.2788434,10827.94372,56,2020,1,4,8,2020-01-04-08,104
57,Saturday 09,10409,0.831666667,12305.4,3816.73,688.63,834.48,932.14,7573.63,14796.07214,4589.254509,828.012024,1003.382766,1120.809619,9106.569138,Saturday,9,-2.338962459,-14.7214863,-6.990330613,-15.13238009,-23.19576921,-27.37479733,Saturday,9,19264.65768,5407.544731,890.2429495,1176.595044,1147.652787,12539.13078,57,2020,1,4,9,2020-01-04-09,104
58,Saturday 10,10410,0.752222222,11380.37,3958.2,578.85,779.05,1048.09,8028.5,15129,5262.008863,769.5199409,1035.664697,1393.324963,10673.04284,Saturday,10,22.50981891,-3.289954697,1.089397329,3.662045172,-17.15002627,-10.09238335,Saturday,10,18260.71792,5076.119089,761.2271526,1070.896714,1137.316972,11871.12197,58,2020,1,4,10,2020-01-04-10,104
59,Saturday 11,10411,0.705,9871.79,4053.89,569.74,713.26,1277.81,8231.93,14002.53901,5750.198582,808.141844,1011.716312,1812.496454,11676.49645,Saturday,11,37.44890598,-19.52518193,2.031471142,1.772268162,-17.30447146,-1.546378451,Saturday,11,16932.64346,5650.064291,792.0515454,1257.183721,1318.669247,11859.89532,59,2020,1,4,11,2020-01-04-11,104
60,Saturday 12,10412,0.713888889,8785.72,3747.27,707.94,765.28,800.44,6450.51,12306.84514,5249.094163,991.6669261,1071.987549,1121.238911,9035.733852,Saturday,12,7.641917869,-19.71077192,45.81138673,-2.192761064,-26.01982527,-24.61335685,Saturday,12,16635.32856,5366.77471,680.1025272,1335.157373,1041.637805,11985.85515,60,2020,1,4,12,2020-01-04-12,104
61,Saturday 13,10413,0.709444444,9834.31,3921.85,558.78,727.72,1092.21,5913.81,13861.98747,5528.057948,787.6303837,1025.760376,1539.528583,8335.83242,Saturday,13,46.91710582,-20.26808128,-5.779830718,0.000153298,-18.87645932,-27.08032895,Saturday,13,17087.50303,5528.049474,835.9466871,1286.511591,1047.889267,11431.52773,61,2020,1,4,13,2020-01-04-13,104
62,Saturday 14,10414,0.638888889,9284.18,3887.5,584.39,596.33,859.3,6750.77,14531.76,6084.782609,914.6973913,933.386087,1344.991304,10566.42261,Saturday,14,19.00699026,-19.3610178,26.36614518,8.816288441,-7.840469442,-11.98861799,Saturday,14,15768.04907,5591.793927,723.8468737,1157.487435,1130.178405,12005.74558,62,2020,1,4,14,2020-01-04-14,104
63,Saturday 15,10415,0.644444444,8917.52,3508.46,419.45,668.51,817.28,6245.94,13837.53103,5444.162069,650.8706897,1037.343103,1268.193103,9691.975862,Saturday,15,13.50064177,-14.81427325,-36.43275798,-17.91362564,-11.90998798,-14.71191083,Saturday,15,15708.39953,6632.235997,1023.908965,1217.742858,1117.344434,11363.80936,63,2020,1,4,15,2020-01-04-15,104
64,Saturday 16,10416,0.574166667,10134.96,3529.99,513.42,558,618.06,6235.66,17651.59942,6148.023222,894.2002903,971.8432511,1076.447025,10860.36575,Saturday,16,-36.36907002,-51.29985466,-10.71430695,-25.41530667,-19.18635399,-25.71726597,Saturday,16,21842.35001,8243.009319,1001.504563,1995.565402,1691.704058,14620.30967,64,2020,1,4,16,2020-01-04-16,104
65,Saturday 17,10417,0.600555556,9905.64,3815.89,493.13,726.98,1023.57,7201.32,16494.12766,6353.933395,821.1230342,1210.512488,1704.371878,11991.09713,Saturday,17,33.33401218,-27.06118753,-13.91109472,-7.711833266,-14.20945649,-9.075643311,Saturday,17,19226.04402,6884.884184,953.8081958,1659.627361,1278.2724,13187.99227,65,2020,1,4,17,2020-01-04-17,104
66,Saturday 18,10418,0.586111111,10119.93,3978.51,462.61,1068.94,896.31,7159.03,17266.23128,6787.979147,789.2872038,1823.783886,1529.249289,12214.45877,Saturday,18,-7.266696259,23.24554616,-9.995380721,-6.300451066,-21.18529464,-8.459277747,Saturday,18,21907.37274,7244.409631,876.9407727,1479.796993,1649.083153,13343.19685,66,2020,1,4,18,2020-01-04-18,104
67,Saturday 19,10419,0.505277778,7977.98,3926.09,544.51,762.46,897,6589.38,15789.29522,7770.161627,1077.64486,1508.991754,1775.261132,13041.1039,Saturday,19,16.903617,9.26293453,25.94783606,7.315261495,-19.47127105,2.365014554,Saturday,19,19607.03394,7240.500111,855.6279278,1381.06464,1518.568183,12739.80565,67,2020,1,4,19,2020-01-04-19,104
68,Saturday 20,10420,0.585,10836.91,4114.4,457.33,719.64,940.88,6978.33,18524.63248,7033.162393,781.7606838,1230.153846,1608.34188,11928.76923,Saturday,20,6.158207176,-2.796892942,-12.70270244,1.198519387,-3.161998428,-0.080153787,Saturday,20,19129.5072,6949.866891,895.5153317,1265.549923,1515.042429,11938.33826,68,2020,1,4,20,2020-01-04-20,104
69,Saturday 21,10421,0.629722222,10754.67,4328.23,711.29,691.63,1043.44,6113.21,17078.43494,6873.236877,1129.529775,1098.30966,1656.984561,9707.788266,Saturday,21,24.5827489,-18.5459708,21.24287947,9.024223629,2.104090943,-20.32805519,Saturday,21,16726.49428,6304.320864,931.6256592,1348.379781,1330.027292,12184.70101,69,2020,1,4,21,2020-01-04-21,104
70,Saturday 22,10422,0.686944444,11132.63,4690.53,871.33,996.56,1108.52,7476.23,16206.01213,6828.106753,1268.414072,1450.714112,1613.696725,10883.31096,Saturday,22,23.24011876,12.7558424,52.30325757,22.58743729,15.39141798,19.09124997,Saturday,22,14044.38252,5569.988984,832.8213672,1286.597733,1309.39238,9138.631899,70,2020,1,4,22,2020-01-04-22,104
71,Saturday 23,10423,0.829166667,11043.9,5028.22,827.12,855.86,1217.14,7695.89,13319.27638,6064.184925,997.5316583,1032.192965,1467.907538,9281.475377,Saturday,23,58.92310932,27.76159598,79.24918345,55.14877823,29.36802715,38.39630376,Saturday,23,10295.64775,3908.625639,556.5055523,807.9055032,923.6589593,6706.447444,71,2020,1,4,23,2020-01-04-23,104
